Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
JapaneseStory,Japanese,1,むかし、,4,14,86,1,215,72,287,86,215,54,287,104
JapaneseStory,Japanese,2,むかし、,4,14,86,1,287,72,359,86,287,54,359,104
JapaneseStory,Japanese,3,ある,2,15,86,1,359,71,395,86,359,53,395,104
JapaneseStory,Japanese,4, ところ,4,14,86,1,395,72,458,86,395,54,458,104
JapaneseStory,Japanese,5, に,2,12,86,1,458,74,485,86,458,56,485,104
JapaneseStory,Japanese,6,おじいさん,5,15,151,2,215,136,305,151,215,118,305,169
JapaneseStory,Japanese,7, と,2,14,151,2,305,137,332,151,305,119,332,169
JapaneseStory,Japanese,8, おばあさん,6,15,151,2,332,136,431,151,332,118,431,169
JapaneseStory,Japanese,9, が,2,15,151,2,431,136,458,151,431,118,458,169
JapaneseStory,Japanese,10, いました。,6,14,151,2,458,137,557,151,458,119,557,169
JapaneseStory,Japanese,11,おじいさん,5,15,216,3,215,201,305,216,215,183,305,234
JapaneseStory,Japanese,12, が,2,15,216,3,305,201,332,216,305,183,332,234
JapaneseStory,Japanese,13, 山（やま）,6,16,216,3,332,200,431,216,332,182,431,234
JapaneseStory,Japanese,14, へ,2,11,216,3,431,205,458,216,431,187,458,234
JapaneseStory,Japanese,15, 木（き）,5,17,216,3,458,199,539,216,458,181,539,234
JapaneseStory,Japanese,16, を,2,15,216,3,539,201,566,216,539,183,566,234
JapaneseStory,Japanese,17, きり,3,15,216,3,566,201,611,216,566,183,611,234
JapaneseStory,Japanese,18, に,2,12,216,3,611,204,638,216,611,186,638,234
JapaneseStory,Japanese,19, いけば、,5,15,216,3,638,201,719,216,638,183,719,234
JapaneseStory,Japanese,20,おばあさん,5,15,281,4,215,266,305,281,215,248,305,299
JapaneseStory,Japanese,21, は,2,14,281,4,305,267,332,281,305,249,332,299
JapaneseStory,Japanese,22, 川（かわ）,6,17,281,4,332,264,431,281,332,246,431,299
JapaneseStory,Japanese,23, へ,2,11,281,4,431,270,458,281,431,252,458,299
JapaneseStory,Japanese,24, せんたく,5,15,281,4,458,266,539,281,458,248,539,299
JapaneseStory,Japanese,25, に,2,12,281,4,539,269,566,281,539,251,566,299
JapaneseStory,Japanese,26, でかけます。,7,15,281,4,566,266,683,281,566,248,683,299
JapaneseStory,Japanese,27,「おじいさん、,7,16,346,5,215,330,341,346,215,312,341,364
JapaneseStory,Japanese,28,はよう,3,15,346,5,341,331,395,346,341,313,395,364
JapaneseStory,Japanese,29, もどって,5,14,346,5,395,332,476,346,395,314,476,364
JapaneseStory,Japanese,30, きなされ。」,7,16,346,5,476,330,593,346,476,312,593,364
JapaneseStory,Japanese,31,「おばあさん,6,16,411,6,215,395,323,411,215,377,323,429
JapaneseStory,Japanese,32, も,2,14,411,6,323,397,350,411,323,379,350,429
JapaneseStory,Japanese,33, き,2,14,411,6,350,397,377,411,350,379,377,429
JapaneseStory,Japanese,34, を,2,15,411,6,377,396,404,411,377,378,404,429
JapaneseStory,Japanese,35, つけて,4,14,411,6,404,397,467,411,404,379,467,429
JapaneseStory,Japanese,36, な。」,4,16,411,6,467,395,530,411,467,377,530,429
JapaneseStory,Japanese,37,まい日（にち）,7,16,476,7,215,460,341,476,215,442,341,494
JapaneseStory,Japanese,38, やさしく,5,15,476,7,341,461,422,476,341,443,422,494
JapaneseStory,Japanese,39, いい,3,12,476,7,422,464,467,476,422,446,467,494
JapaneseStory,Japanese,40, あって,4,15,476,7,467,461,530,476,467,443,530,494
JapaneseStory,Japanese,41, でかけます。,7,15,476,7,530,461,647,476,530,443,647,494
